iter	RMSE
158	5.526461509
159	5.52400275
160	5.517743685
161	5.512536447
162	5.509904485
163	5.506549633
164	5.501663918
165	5.498217638
166	5.494622391
167	5.49098681
168	5.487574911
169	5.484249478
170	5.48187633
171	5.47658694
172	5.472529236
173	5.466409217
174	5.461841324
175	5.458985179
176	5.453886867
177	5.450259283
178	5.445149518
179	5.441462181
180	5.438048441
181	5.433860096
182	5.429037819
183	5.424067411
184	5.418280411
185	5.414601135
186	5.411616999
187	5.409739632
188	5.407021174
189	5.40191074
190	5.39948832
191	5.394734104
192	5.392315791
193	5.389056713
194	5.385675745
195	5.383097116
196	5.377254122
197	5.37465713
198	5.372537983
199	5.370367705
200	5.366627469
201	5.362274379
202	5.357965214
203	5.354523278
204	5.348209064
205	5.346604549
206	5.345378134
207	5.342026552
208	5.33753358
209	5.33522738
210	5.331768413
211	5.327212596
212	5.322153414
213	5.316925449
214	5.312633399
215	5.307033158
216	5.302408621
217	5.300297125
218	5.294723998
219	5.291979983
220	5.289797973
221	5.288090473
222	5.285381145
223	5.282253078
224	5.279044496
225	5.276739325
226	5.27247625
227	5.269192678
228	5.267580309
229	5.263052045
230	5.258918479
231	5.252446476
232	5.250784452
233	5.245923085
234	5.242327555
235	5.240037499
236	5.238544475
237	5.236774546
238	5.233530814
239	5.232273895
240	5.230893761
241	5.22817358
242	5.226862092
243	5.223610883
244	5.2177085
245	5.213702419
246	5.210517939
247	5.205365225
248	5.202560755
249	5.199334611
250	5.197464643
251	5.194882655
252	5.193832108
253	5.189860592
254	5.184830633
255	5.183755437
256	5.178387025
257	5.176497639
258	5.173711869
259	5.172705069
260	5.16963837
261	5.163074633
262	5.156579767
263	5.155340366
264	5.151331795
265	5.146033539
266	5.140174585
267	5.137502227
268	5.134635194
269	5.130689454
270	5.125552854
271	5.121599869
272	5.11768348
273	5.116616787
274	5.115358772
275	5.111622174
276	5.109496231
277	5.105717884
278	5.102071197
279	5.099361864
280	5.098629972
281	5.097970587
282	5.092547181
283	5.088389842
284	5.084589376
285	5.082792018
286	5.077979161
287	5.076235423
288	5.074108307
289	5.069105048
290	5.068021629
291	5.062827681
292	5.061779625
293	5.060673152
294	5.058498935
295	5.056225773
296	5.053271094
297	5.047979186
298	5.045365565
299	5.04404195
300	5.039899516
301	5.034570768
302	5.028522632
303	5.022586279
304	5.020396218
305	5.016208222
306	5.009549261
307	5.006171866
308	5.00169759
309	5.000174487
310	4.998827141
311	4.997340448
312	4.994606041
313	4.99088936
314	4.986917546
315	4.982495398
316	4.978905855
317	4.977319345
318	4.973623166
319	4.971324144
320	4.967216622
321	4.966675842
322	4.960959445
323	4.957958418
324	4.953707838
325	4.950119273
326	4.94571795
327	4.943267938
328	4.938178955
329	4.934839462
330	4.93409089
331	4.931875846
332	4.928929724
333	4.925429188
334	4.920992609
335	4.917037583
336	4.912914719
337	4.911880658
338	4.907931782
339	4.906470686
340	4.905423689
341	4.900359128
342	4.899025859
343	4.896012775
344	4.893294804
345	4.892064884
346	4.891479354
347	4.887482211
348	4.883411571
349	4.881499312
350	4.878047263
351	4.874813196
352	4.872910301
353	4.869121452
354	4.864507948
355	4.860574099
356	4.857810222
357	4.856531734
358	4.851733051
359	4.850249696
360	4.846404271
361	4.845504975
362	4.841398513
363	4.837101908
364	4.83388914
365	4.830622648
366	4.827029143
367	4.824499141
368	4.820794515
369	4.817178925
370	4.813021822
371	4.812112713
372	4.809542513
373	4.808570139
374	4.8037703
375	4.800227616
376	4.797604557
377	4.793871543
378	4.790906669
379	4.787512708
380	4.783595427
381	4.781709447
382	4.778081056
383	4.773950346
384	4.76924544
385	4.766136215
386	4.764078674
387	4.760494856
388	4.757510683
389	4.753391462
390	4.749993266
391	4.747834257
392	4.744322842
393	4.743238127
394	4.739269292
395	4.7365814
396	4.733157638
397	4.730353987
398	4.729455825
399	4.726234894
400	4.722539781
401	4.718128901
402	4.717456986
403	4.713567913
404	4.710678339
405	4.707921652
406	4.706942655
407	4.704358756
408	4.700509595
409	4.696131761
410	4.693487765
411	4.6920966
412	4.686892326
413	4.684432274
414	4.681291432
415	4.677679165
416	4.673891092
417	4.67154755
418	4.670473168
419	4.667841633
420	4.663479558
421	4.662145603
422	4.659173709
423	4.656820155
424	4.652981734
425	4.650661302
426	4.648594956
427	4.646297354
428	4.643597568
429	4.641568169
430	4.637951572
431	4.63605009
432	4.635791271
433	4.632764997
434	4.629982755
435	4.626435266
436	4.624429899
437	4.621132963
438	4.6189481
439	4.615833119
440	4.611942432
441	4.609412405
442	4.604738632
443	4.602612862
444	4.598684758
445	4.595248125
446	4.592798171
447	4.589495687
448	4.585596846
449	4.582652987
450	4.579667229
451	4.576179726
452	4.573515008
453	4.572216632
454	4.570732024
455	4.569860844
456	4.566556131
457	4.56355609
458	4.560992696
459	4.559886771
460	4.556223827
461	4.553227277
462	4.550715419
463	4.550084107
464	4.547277154
465	4.546726668
466	4.544446128
467	4.542424931
468	4.542193338
469	4.539536341
470	4.537706472
471	4.535033504
472	4.531325391
473	4.529332174
474	4.526410696
475	4.526136737
476	4.524551693
477	4.522281491
478	4.519188792
479	4.518361339
480	4.514841142
481	4.511957153
482	4.509843247
483	4.507735009
484	4.505571373
485	4.503408896
486	4.501618316
487	4.49846325
488	4.496566576
489	4.495487451
490	4.492048117
491	4.488468568
492	4.486394006
493	4.483381426
494	4.480009355
495	4.477171089
496	4.474443616
497	4.47267138
498	4.468702005
499	4.466314774
500	4.463225686
501	4.460181023
502	4.457230126
503	4.454197313
504	4.451119415
505	4.448303983
506	4.445831195
507	4.442725645
508	4.439359032
509	4.43586278
510	4.432460872
511	4.430708621
512	4.428234127
513	4.424387809
514	4.421385769
515	4.418179427
516	4.415113551
517	4.414889696
518	4.410373806
519	4.408922004
520	4.406452584
521	4.40509172
522	4.400790555
523	4.397623228
524	4.394379893
525	4.394206542
526	4.391274224
527	4.390003381
528	4.38736642
529	4.385551933
530	4.383194767
531	4.380012975
532	4.375509866
533	4.373989401
534	4.371054679
535	4.369845359
536	4.367821116
537	4.3657576
538	4.363832909
539	4.363323053
540	4.360584912
541	4.358375212
542	4.355392179
543	4.353931457
544	4.352292567
545	4.349444059
546	4.346576346
547	4.342687189
548	4.340006116
549	4.336373368
550	4.336112617
551	4.334585838
552	4.332684249
553	4.330481246
554	4.325964701
555	4.323113039
556	4.321614843
557	4.319377063
558	4.315941994
559	4.313334643
560	4.31122227
561	4.307217072
562	4.304915562
563	4.299847812
564	4.297630532
565	4.296069224
566	4.295814773
567	4.293894639
568	4.29132559
569	4.289702551
570	4.287755205
571	4.284982924
572	4.284827725
573	4.28136604
574	4.280283161
575	4.278588155
576	4.277718921
577	4.27458662
578	4.271044898
579	4.26884836
580	4.265575204
581	4.261171919
582	4.259498559
583	4.258344217
584	4.256891095
585	4.254483985
586	4.251243729
587	4.248755801
588	4.247282297
589	4.243094222
590	4.240343585
591	4.238400469
592	4.237434956
593	4.233606394
594	4.232705086
595	4.230651788
596	4.227971429
597	4.224195821
598	4.223200347
599	4.222163195
600	4.219264685
601	4.216833079
602	4.216686669
603	4.214296913
604	4.212467919
605	4.209935214
606	4.207759602
607	4.206183897
608	4.203956223
609	4.201718763
610	4.200481763
611	4.199554511
612	4.199303112
613	4.19584416
614	4.194283242
615	4.192033488
616	4.189229186
617	4.18682685
618	4.184630665
619	4.182274081
620	4.178913489
621	4.178112001
622	4.177063708
623	4.175647617
624	4.17186183
625	4.171163219
626	4.168677455
627	4.165388149
628	4.162707367
629	4.161158652
630	4.158899037
631	4.158349595
632	4.15552334
633	4.152418436
634	4.151021415
635	4.15029785
636	4.147300737
637	4.143787083
638	4.14164618
639	4.139055954
640	4.137563755
641	4.13394576
642	4.132013187
643	4.129546578
644	4.129207246
645	4.127845843
646	4.127715554
647	4.126209779
648	4.122650239
649	4.121583281
650	4.119778098
651	4.118510019
652	4.1163488
653	4.113538308
654	4.112237023
655	4.110060873
656	4.107936298
657	4.105231771
658	4.103259052
659	4.100676334
660	4.100493425
661	4.098588142
662	4.09580094
663	4.094035068
664	4.090953331
665	4.088381991
666	4.085642063
667	4.083835818
668	4.082621616
669	4.080033539
670	4.077844306
671	4.075461524
672	4.07373051
673	4.069716849
674	4.066890521
675	4.064175701
676	4.064047259
677	4.062504769
678	4.062334053
679	4.061500748
680	4.059117115
681	4.055943684
682	4.05257268
683	4.050869501
684	4.048829944
685	4.046359004
686	4.043743139
687	4.041857299
688	4.040058597
689	4.036068214
690	4.032676572
691	4.031524507
692	4.031063611
693	4.030893907
694	4.030763893
695	4.028612988
696	4.026440558
697	4.024927518
698	4.02169713
699	4.019573053
700	4.017393463
701	4.015168102
702	4.012936468
703	4.009761144
704	4.009572354
705	4.008541077
706	4.00793058
707	4.006055355
708	4.005923131
709	4.003650687
710	4.001350623
711	3.999578563
712	3.996915225
713	3.994660409
714	3.992566584
715	3.991043127
716	3.988587986
717	3.985306544
718	3.98070748
719	3.978219444
720	3.976690282
721	3.976549917
722	3.974514886
723	3.971832983
724	3.969897429
725	3.967263899
726	3.964538907
727	3.962061808
728	3.960186608
729	3.958404136
730	3.956902646
731	3.95525198
732	3.953596477
733	3.952122565
734	3.94942448
735	3.949300159
736	3.947028843
737	3.943811169
738	3.942014894
739	3.940440251
740	3.937477932
741	3.935549223
742	3.933173399
743	3.930560777
744	3.927826514
745	3.926185613
746	3.923153174
747	3.921195077
748	3.921068322
749	3.920455482
750	3.918109688
751	3.914486681
752	3.912414627
753	3.911848817
754	3.911732835
755	3.90933692
756	3.909224864
757	3.907267809
758	3.906996611
759	3.904412131
760	3.904305051
761	3.903040687
762	3.902046075
763	3.900140027
764	3.897539604
765	3.896396354
766	3.894883921
767	3.892540121
768	3.890914018
769	3.887873309
770	3.886481267
771	3.88501746
772	3.882988175
773	3.881788703
774	3.879694338
775	3.879584988
776	3.879449795
777	3.878025525
778	3.874450616
779	3.870462397
780	3.869266284
781	3.868051436
782	3.865946051
783	3.863176065
784	3.861329346
785	3.859214253
786	3.857058714
787	3.854850615
788	3.853528144
789	3.85179684
790	3.849508623
791	3.848033295
792	3.845496644
793	3.843457539
794	3.841484542
795	3.83840622
796	3.837453926
797	3.835739083
798	3.834868667
799	3.83256603
800	3.827907419
801	3.826338467
802	3.824583841
803	3.822331466
804	3.82006848
805	3.817142618
806	3.816841767
807	3.815418067
808	3.813605073
809	3.81164303
810	3.810425354
811	3.807087147
812	3.805676764
813	3.80432936
814	3.802620384
815	3.800681142
816	3.798500442
817	3.796133923
818	3.794601514
819	3.793409418
820	3.790851897
821	3.788716682
822	3.787359156
823	3.785742123
824	3.783525567
825	3.781717435
826	3.780413813
827	3.780240715
828	3.778284686
829	3.776483307
830	3.774383329
831	3.772765584
832	3.771134746
833	3.769582118
834	3.767840607
835	3.765348607
836	3.763733444
837	3.761659595
838	3.759094331
839	3.756220085
840	3.754338779
841	3.752382168
842	3.750486764
843	3.750366187
844	3.749546855
845	3.748160331
846	3.746936891
847	3.745395863
848	3.743344361
849	3.741213846
850	3.739084538
851	3.737858648
852	3.737725259
853	3.735394376
854	3.732715212
855	3.732595857
856	3.731069784
857	3.729255098
858	3.728606315
859	3.727290784
860	3.724426518
861	3.721193883
862	3.719803288
863	3.716239637
864	3.713822419
865	3.712304169
866	3.711116106
867	3.708711547
868	3.708619195
869	3.706574313
870	3.704021869
871	3.702402938
872	3.69969984
873	3.697626089
874	3.696102431
875	3.69472055
876	3.692811052
877	3.6911756
878	3.689441321
879	3.687953007
880	3.685604508
881	3.68454221
882	3.684044354
883	3.681452233
884	3.680561475
885	3.678881703
886	3.676898167
887	3.67554113
888	3.674593541
889	3.673232487
890	3.671750699
891	3.67060785
892	3.668808132
893	3.666921689
894	3.664489986
895	3.663516886
896	3.663363533
897	3.660185022
898	3.65919644
899	3.65801419
900	3.656443347
901	3.65477627
902	3.65185526
903	3.650636641
904	3.649604942
905	3.647931249
906	3.64603645
907	3.64443652
908	3.642530846
909	3.641423792
910	3.639179776
911	3.637944637
912	3.63625531
913	3.635511847
914	3.634629527
915	3.63216883
916	3.632057376
917	3.630533542
918	3.630431139
919	3.629114432
920	3.627222862
921	3.627141783
922	3.625205676
923	3.623728338
924	3.621798387
925	3.621719279
926	3.619714834
927	3.618076522
928	3.61697577
929	3.615154992
930	3.613766727
931	3.613102009
932	3.611414228
933	3.610418061
934	3.60803982
935	3.607629498
936	3.606389423
937	3.603170903
938	3.601113738
939	3.596889008
940	3.596796388
941	3.596135656
942	3.594379363
943	3.593197776
944	3.591823468
945	3.589668481
946	3.588541068
947	3.58719961
948	3.586111803
949	3.584679179
950	3.583331516
951	3.583237659
952	3.581603249
953	3.578590023
954	3.576883047
955	3.573962819
956	3.571950253
957	3.569439431
958	3.566565823
959	3.565423468
960	3.564770791
961	3.564062565
962	3.562688327
963	3.562620469
964	3.559663312
965	3.559570729
966	3.557620953
967	3.552945059
968	3.550736511
969	3.549053494
970	3.548103413
971	3.547975382
972	3.546608543
973	3.544221472
974	3.542751307
975	3.541795849
976	3.539117756
977	3.537924975
978	3.536315502
979	3.535136771
980	3.532944344
981	3.53002279
982	3.528684774
983	3.525979038
984	3.522989444
985	3.522170658
986	3.521192212
987	3.518854544
988	3.516972086
989	3.51517843
990	3.512974776
991	3.511613886
992	3.510008984
993	3.508358704
994	3.50674429
995	3.506619497
996	3.50455226
997	3.502477301
998	3.501285777
999	3.4999446
